date,category,n_posts,mean_compound,bearish_share,bullish_share,neutral_share
2026-04-10,Fed,12,-0.21865,0.6666666666666666,0.3333333333333333,0.0
2026-04-10,GDP,1,-0.038449999999999984,0.0,0.0,1.0
2026-04-10,Growth,3,-0.89325,0.6666666666666666,0.3333333333333333,0.0
2026-04-10,Housing,1,0.9244,0.0,1.0,0.0
2026-04-10,Inflation,42,-0.29329404761904765,0.5952380952380952,0.3333333333333333,0.07142857142857142
2026-04-10,Oil and energy,10,-0.04828,0.4,0.4,0.2
2026-04-11,Econ Daily,6,0.5456166666666666,0.0,1.0,0.0
2026-04-11,Fed,8,-0.1943125,0.5,0.5,0.0
2026-04-11,Growth,2,-0.9882500000000001,1.0,0.0,0.0
2026-04-11,Inflation,4,0.21284999999999998,0.25,0.75,0.0
2026-04-11,Jobs & Economy,1,-0.4019,1.0,0.0,0.0
2026-04-11,Oil and energy,6,-0.0862416666666667,0.5,0.5,0.0
2026-04-12,Econ Daily,15,-0.18114333333333338,0.5333333333333333,0.4666666666666667,0.0
2026-04-12,Fed,1,0.0,0.0,0.0,1.0
2026-04-12,Growth,4,-0.5803375000000001,0.5,0.5,0.0
2026-04-12,Housing,2,-0.19065,1.0,0.0,0.0
2026-04-12,Inflation,13,-0.10069615384615387,0.46153846153846156,0.5384615384615384,0.0
2026-04-12,Jobs & Economy,4,-0.1012375,0.5,0.25,0.25
2026-04-12,Oil and energy,18,0.05788055555555554,0.2777777777777778,0.5555555555555556,0.16666666666666666
2026-04-13,Econ Daily,16,0.036543749999999986,0.375,0.625,0.0
2026-04-13,Fed,2,-0.8104500000000001,1.0,0.0,0.0
2026-04-13,GDP,2,0.1887,0.5,0.5,0.0
2026-04-13,Growth,2,-1.34365,1.0,0.0,0.0
2026-04-13,Inflation,16,-0.45591250000000005,0.5625,0.375,0.0625
2026-04-13,Jobs & Economy,2,0.18450000000000005,0.5,0.5,0.0
2026-04-13,Oil and energy,10,-0.433465,0.7,0.2,0.1
2026-04-14,Econ Daily,29,-0.1379793103448276,0.5172413793103449,0.4482758620689655,0.034482758620689655
2026-04-14,Fed,7,0.25597142857142857,0.14285714285714285,0.7142857142857143,0.14285714285714285
2026-04-14,GDP,1,-0.99495,1.0,0.0,0.0
2026-04-14,Global Central Banks,1,-0.42229999999999995,1.0,0.0,0.0
2026-04-14,Growth,8,-0.6914375,0.875,0.125,0.0
2026-04-14,Housing,2,0.68965,0.0,1.0,0.0
2026-04-14,Inflation,13,-0.40454615384615383,0.7692307692307693,0.23076923076923078,0.0
2026-04-14,Jobs & Economy,3,-0.45965000000000006,0.6666666666666666,0.3333333333333333,0.0
2026-04-14,Oil and energy,22,-0.24027727272727273,0.5909090909090909,0.4090909090909091,0.0
2026-04-15,Econ Daily,30,-0.14784333333333335,0.43333333333333335,0.43333333333333335,0.13333333333333333
2026-04-15,Fed,20,-0.3267675,0.85,0.15,0.0
2026-04-15,GDP,3,-0.14460000000000003,0.6666666666666666,0.3333333333333333,0.0
2026-04-15,Global Central Banks,2,-0.63785,1.0,0.0,0.0
2026-04-15,Growth,7,-0.30404285714285717,0.5714285714285714,0.42857142857142855,0.0
2026-04-15,Inflation,12,-0.13438333333333333,0.4166666666666667,0.5,0.08333333333333333
2026-04-15,Jobs & Economy,9,0.11740555555555557,0.3333333333333333,0.4444444444444444,0.2222222222222222
2026-04-15,Oil and energy,19,-0.31391842105263157,0.47368421052631576,0.47368421052631576,0.05263157894736842
2026-04-16,Econ Daily,33,0.08625757575757576,0.30303030303030304,0.6666666666666666,0.030303030303030304
2026-04-16,Fed,5,-0.06364000000000002,0.6,0.4,0.0
2026-04-16,GDP,2,0.137125,0.5,0.5,0.0
2026-04-16,Global Central Banks,1,0.2263,0.0,1.0,0.0
2026-04-16,Growth,11,0.08617727272727273,0.36363636363636365,0.6363636363636364,0.0
2026-04-16,Housing,1,-0.8481,1.0,0.0,0.0
2026-04-16,Inflation,4,-0.38688750000000005,0.5,0.5,0.0
2026-04-16,Jobs & Economy,6,-0.46918333333333334,0.5,0.16666666666666666,0.3333333333333333
2026-04-16,Oil and energy,17,-0.23421470588235294,0.5882352941176471,0.35294117647058826,0.058823529411764705
2026-04-17,Econ Daily,25,-0.14663600000000002,0.52,0.36,0.12
2026-04-17,Fed,3,-0.13053333333333336,0.6666666666666666,0.0,0.3333333333333333
2026-04-17,Global Central Banks,1,0.34724999999999995,0.0,1.0,0.0
2026-04-17,Growth,3,0.26663333333333333,0.3333333333333333,0.6666666666666666,0.0
2026-04-17,Inflation,7,-0.15302857142857146,0.7142857142857143,0.2857142857142857,0.0
2026-04-17,Jobs & Economy,7,-0.3274071428571429,0.7142857142857143,0.2857142857142857,0.0
2026-04-17,Oil and energy,16,-0.220440625,0.5,0.375,0.125
2026-04-18,Econ Daily,16,0.024665624999999983,0.4375,0.5625,0.0
2026-04-18,Fed,6,0.2275666666666667,0.16666666666666666,0.6666666666666666,0.16666666666666666
2026-04-18,GDP,1,-0.4767,1.0,0.0,0.0
2026-04-18,Global Central Banks,1,-0.0237,0.0,0.0,1.0
2026-04-18,Growth,3,-0.42746666666666666,0.6666666666666666,0.3333333333333333,0.0
2026-04-18,Inflation,4,0.29872499999999996,0.0,1.0,0.0
2026-04-18,Jobs & Economy,4,-0.5087875,1.0,0.0,0.0
2026-04-18,Oil and energy,16,0.106671875,0.25,0.6875,0.0625
2026-04-19,Econ Daily,17,-0.1529029411764706,0.47058823529411764,0.47058823529411764,0.058823529411764705
2026-04-19,Fed,1,-1.50035,1.0,0.0,0.0
2026-04-19,Growth,4,-0.033787500000000054,0.25,0.75,0.0
2026-04-19,Inflation,8,-0.71918125,0.875,0.125,0.0
2026-04-19,Jobs & Economy,2,0.24632499999999996,0.5,0.5,0.0
2026-04-19,Oil and energy,11,0.2609545454545455,0.09090909090909091,0.9090909090909091,0.0
2026-04-20,Econ Daily,21,-0.16799761904761906,0.5238095238095238,0.47619047619047616,0.0
2026-04-20,Fed,3,-0.44545000000000007,0.6666666666666666,0.3333333333333333,0.0
2026-04-20,GDP,1,0.25085,0.0,1.0,0.0
2026-04-20,Global Central Banks,1,0.2263,0.0,1.0,0.0
2026-04-20,Growth,3,0.00978333333333333,0.6666666666666666,0.3333333333333333,0.0
2026-04-20,Housing,1,0.0,0.0,0.0,1.0
2026-04-20,Inflation,5,0.26559,0.2,0.8,0.0
2026-04-20,Jobs & Economy,3,-0.27743333333333337,0.3333333333333333,0.6666666666666666,0.0
2026-04-20,Oil and energy,13,-0.00923076923076923,0.46153846153846156,0.5384615384615384,0.0
2026-04-21,Econ Daily,25,-0.15527400000000002,0.52,0.48,0.0
2026-04-21,Fed,20,-0.006770000000000015,0.35,0.45,0.2
2026-04-21,GDP,1,0.3035,0.0,1.0,0.0
2026-04-21,Global Central Banks,1,0.0,0.0,0.0,1.0
2026-04-21,Growth,7,-0.057278571428571415,0.5714285714285714,0.42857142857142855,0.0
2026-04-21,Inflation,6,-0.2668333333333333,0.6666666666666666,0.3333333333333333,0.0
2026-04-21,Jobs & Economy,2,-0.15704999999999997,1.0,0.0,0.0
2026-04-21,Oil and energy,6,-0.250125,0.3333333333333333,0.6666666666666666,0.0
2026-04-22,Econ Daily,26,-0.1775423076923077,0.46153846153846156,0.4230769230769231,0.11538461538461539
2026-04-22,Fed,7,0.12895714285714285,0.2857142857142857,0.7142857142857143,0.0
2026-04-22,GDP,1,-0.6353500000000001,1.0,0.0,0.0
2026-04-22,Growth,1,-0.5203,1.0,0.0,0.0
2026-04-22,Inflation,5,-0.37968,0.6,0.4,0.0
2026-04-22,Jobs & Economy,1,-0.3986,1.0,0.0,0.0
2026-04-22,Oil and energy,5,0.11319999999999997,0.6,0.4,0.0
2026-04-23,Econ Daily,30,-0.01962333333333335,0.43333333333333335,0.5666666666666667,0.0
2026-04-23,Fed,3,-0.8075333333333333,0.6666666666666666,0.3333333333333333,0.0
2026-04-23,Growth,1,0.79855,0.0,1.0,0.0
2026-04-23,Housing,1,0.66115,0.0,1.0,0.0
2026-04-23,Inflation,4,-0.04332500000000003,0.25,0.5,0.25
2026-04-23,Jobs & Economy,8,-0.16750625000000002,0.5,0.25,0.25
2026-04-23,Oil and energy,4,-0.86255,1.0,0.0,0.0
2026-04-24,Econ Daily,24,-0.21811458333333336,0.5416666666666666,0.4583333333333333,0.0
2026-04-24,Fed,20,-0.046440000000000016,0.45,0.55,0.0
2026-04-24,GDP,1,-0.3685,1.0,0.0,0.0
2026-04-24,Growth,2,-1.5418,1.0,0.0,0.0
2026-04-24,Inflation,8,-0.11875000000000001,0.5,0.375,0.125
2026-04-24,Jobs & Economy,1,-0.4907,1.0,0.0,0.0
2026-04-24,Oil and energy,7,0.21995714285714282,0.2857142857142857,0.7142857142857143,0.0
2026-04-25,Econ Daily,14,0.10846428571428568,0.35714285714285715,0.5,0.14285714285714285
